,tweet_preprocessed
52,"here/RB we/PRP have/VBP a/DT great/JJ example/NN of/IN fail/VBG #/NNS civics/#socialstudie/NNS ,/, not/RB understand/VBG minority/NN govt/NN may/MD seek/VB support/NN o/NN …/NFP"
53,@thomaswelch15/NFP @vincentgorman6/. disprove/VB it/PRP ./.🙄/NN #/NN cdnpoli/NNS #/$ uspolitic/JJ
54,@dylan_ringwood/NN @douglastodd/NNP @stevesaretsky/JJR ndp/NNPS and/CC greens/NNP have/VBP abandon/VBN view/NNS they/PRP hold/VBD on/IN immigration/NN 4/CD -/SYM 5/CD decad/NN …/NFP
55,albertan/NNS be/VBP you/PRP watching/NNP 👀/_SP 🧐/PRP @freealbertarob/WP 👉/VB 🏼/JJR danielle/NNP smith/NNP #/CC fakeillness/NNP #/NN pedosbelongbehindbar/VBZ @cbccalgary/JJ …/NFP
56,annual/JJ iftar/NNP with/IN muslims/NNPS by/IN @ahmadiyyacanada/NNP and/CC pfa/NNP ahmadiyya/NNP on/IN the/DT hill/NNP ./.all/RB ready/JJ to/TO welcome/VB our/PRP$ guest/NNS to/TO com/VB …/.
57,@liberal_party/: how/WRB about/IN increase/VBG inflation/NN ?/.you/PRP increase/VBD oas/NNP by/IN 10/CD %/NN but/CC forget/VBD those/DT between/IN 65/CD -/SYM 75/CD ./.increase/VBG …/NFP
58,"where/WRB do/VBP canadian/JJ leftist/JJ draw/VB the/DT line/NN and/CC not/RB vote/VB liberal/NNP or/CC ndp/NNPS ?/.after/IN all/PDT this/DT failure/NN ,/, incompetence/NN ,/, corrupti/NN …/NFP"
59,"remember/VB to/TO register/VB for/IN @kpmg_canada/NNP 's/POS federal/NNP budget/NNP webcast/NN ,/, where/WRB leader/NNS will/MD analyze/VB tax/NN matter/NNS ,/, consider/VB t/NN …/NFP"
60,@scottaaitchison/NNP who/WP would/MD believe/VB that/IN conservative/NNS would/MD propose/VB government/NN pick/VB win/VBG technology/NNS to/TO throw/VB t/NN …/.
61,"number/NN of/IN female/JJ party/NN leader/NNS by/IN party/NNP ,/, canada/NNP :/: green/NNP party/NNP :/: 7/CD conservative/NNP party/NNP :/: 5/CD ndp/NNPS :/: 2/CD bloc/NNP quebecois/NNP :/: 1/CD liberal/NNP party/NNP :/: 0/CD #/$ cdnpol/NN"
62,•#c41/_SP -/HYPH an/NNP act/NNP to/TO amend/VB the/DT criminal/NNP code/NNP and/CC to/TO make/VB consequential/JJ amendment/NNS to/IN other/JJ acts/NNPS :/: @marcomendicino/IN #/$ cdnpoli/NNS #/$ ho/JJ
63,today/NN @ourcommon/NNS will/MD debate/VB •#c234/NNS -/: an/DT act/NNP to/TO amend/VB the/DT greenhouse/NNP gas/NNP pollution/NNP pricing/NNP act/NNP :/: @benlobbmp/NNP •#c11/_SP -/: …/NFP
64,global/NNP news/NNP have/VBP effectively/RB blunt/VBN any/DT momentum/NN towards/IN a/DT public/JJ inquiry/NN ./.nobody/NN be/VBZ even/RB take/VBG about/RP china/NNP right/NN …/NFP
65,we/PRP should/MD ban/VB conservative/JJ astroturf/NN organization/NNS from/IN use/VBG social/JJ medium/NNS without/IN adult/NN supervision/NN ./. #/$cdnpoli/NNS
66,#/$ justinflation/NNP #/NNS defundcbc/VBZ #/$ canada/NNP #/$ cdnpoli/NNS #/$ trudeaumustgo/VB #/$ trudeaufortreason/NN #/$ trudeaucorruption/NNP #/NN climatescam/NN …/NFP
67,canadian/NNS need/VBP to/TO brace/VB themselves/PRP for/IN tax/NN increase/NNS &/CC amp/NNP ;/: more/JJR spending/NN in/IN tomorrow/NN 's/POS @liberal_party/NN budget/NN ./.this/DT will/MD …/NFP
68,"this/DT afternoon/NN in/IN #/$ ottawa/NNP ,/, deputy/NNP prime/NNP minister/NNP @cafreeland/NNP will/MD continue/VB the/DT pre/JJ -/JJ budget/JJ tradition/NN of/IN select/VBG a/DT …/NFP"
69,anyone/NN imagine/VB what/WP happen/VBD if/IN canada/NNP raise/VBP pension/NNP age/NNP to/IN 75/CD to/TO be/VB eligible/JJ for/IN full/JJ pension/NN ?/.this/DT could/MD happen/VB …/NFP
70,"@thejagmeetsingh/NNP be/VBZ a/DT fraud/NN ./.he/PRP can/MD not/RB even/RB answer/VB this/DT question/NN without/IN a/DT bullshit/NN comeback/NN ./.step/VB down/RB ,/, we/PRP need/VBP an/DT …/NFP"
71,📣/LS poll/NN :/: be/VBZ systemic/JJ prejudice/NN engraine/VBD in/IN the/DT colleges/NNPS of/IN physicians/NNPS ?/.@canadianpress/NN #/$ cdnpoli/NNS #/$ onpoli/NNP #/$ abpoli/NNP …/NFP
72,once/RB in/IN a/DT while/IN i/PRP get/VBP fun/JJ response/NNS from/IN poilievre/NN 's/POS zombie/NNS ./.one/CD in/IN particular/JJ wish/VBD i/PRP to/TO be/VB in/IN the/DT soup/NN line/NNS i/PRP …/NFP
73,"@dylan_ringwood/NNS @douglastodd/NNP @stevesaretsky/NN yes/UH ,/, absolutely/RB ./.the/DT immigration/NN ponzi/NNP scheme/NN work/VBD for/IN decade/NNS —/: most/JJS …/NFP"
74,"this/DT evening/NN in/IN #/$ ottawa/NNP ,/, prime/NNP minister/NNP @justintrudeau/NNP will/MD attend/VB an/DT iftar/JJ dinner/NN with/IN muslim/JJ woman/NNS leader/NNS ./.he/PRP wi/NN …/NFP"
75,it/PRP be/VBD great/JJ to/TO speak/VB to/IN member/NNS of/IN the/DT @iaffcanada/NN today/NN at/IN their/PRP$ #/JJ iaffcdnleg/NN conference/NN ./.firefighter/NNS be/VBP always/RB …/.
76,@politicussarah/NNP @pierrepoilievre/NNP threaten/VBD to/TO force/VB assault/NN style/NN rifle/NNS in/IN canada/NNP ./.while/IN decimate/VBG universal/JJ hea/NNS …/NFP
77,conservative/NNS soften/VBP china/NNP stance/NN since/IN ride/VBG loss/NNS in/IN election/NN |/NN national/NNP post/NNP #/$ cpc/NNP #/$ cdnpoli/NNS
78,join/VBG @reenafoundation/NN and/CC jewish/JJ community/NN stakeholder/NNS today/NN for/IN #/$ icc/NNP #/$ dayonthehill2023/NNP in/IN support/NN of/IN canadians/NNPS …/NFP
79,targeted/JJ ad/NNS for/IN leave/VBG health/NN care/NN in/IN canada/NNP #/DT hcw/NNP #/$ cdnpoli/NNS #/$ healthcare/NN @cma_doc/NNS
80,canada/NNP need/VBZ a/DT youth/NNP climate/NNP corps/NNP #/$ mentalhealth/NN #/$ youthclimatecorps/NNP #/NN cdnpoli/NNS nearly/RB 80/CD percent/NN of/IN 16/CD -/SYM 26/CD year/NN -/HYPH old/NNS …/NFP
81,and/CC now/RB we/PRP start/VBP to/TO see/VB the/DT real/JJ price/NN of/IN a/DT liberal/JJ -/HYPH ndp/JJ coalition/NN government/NN !/.see/VB ya/PRP economy/NN !/. #/$trudeauoutofcontrol/NN …/NFP
82,@shawnalucey/NNP @cmaconthehill/NNP @globalnews/NNP well/UH defamation/NN be/VBD bring/VBN up/RP but/CC the/DT court/NNS indicate/VBD allegation/NNS of/IN corr/NNP …/.
83,"read/VB our/PRP$ client/NN op/NN -/HYPH ed/NN --/: from/IN dr./NNP leia/NNP minaker/NNP ,/, associate/NNP professor/NNP in/IN the/DT school/NNP of/IN planning/NNP at/IN the/DT university/NNP of/IN …/NFP"
