,tweet_preprocessed
4266,question/NN :/: what/WP do/VBP you/PRP think/VB ?/.☞/NN be/VBZ this/DT sort/NN of/IN behaviour/NN by/IN @markgerretsen/VBN more/RBR in/IN keep/VBG with/IN :/: 🔲/LS pappara/NNS …/NFP
4267,@canadianpm/FW @justintrudeau/NNP least/JJS #/VBZ canadians/NNPS can/MD do/VB be/VBZ show/VB compassion/NN towards/IN #/NNS indians/NNPS who/WP be/VBD target/VBN ./.we/PRP know/VBP d/NNP …/NFP
4268,icymi/NNP -/: my/PRP$ late/JJS for/IN @thetyee/NN ./.on/IN the/DT hot/NNP seat/NNP :/: alberta/NNP energy/NNP regulator/NNP ceo/NNP laurie/NNP pushor/NNP via/IN @thetyee/NN …/NFP
4269,"this/DT be/VBZ what/WP happen/VBZ when/WRB you/PRP have/VBP no/DT value/NNS ,/, no/DT principle/NNS and/CC no/DT program/NN :/: you/PRP get/VBP @pierrepoilievre/NNP list/VBG stuff/NN …/NFP"
4270,taxis/NNS be/VBP the/DT way/NN we/PRP citizen/NNS pay/VBP our/PRP$ share/NN of/IN the/DT rent/NN for/IN live/VBG in/IN this/DT country/NN ./.when/WRB the/DT rich/JJ do/VBP not/RB pay/VB their/PRP$ …/NFP
4271,"it/PRP ’/VBZ a/DT joke/NN ./.biden/NNP get/VBZ ask/VBN about/IN china/NNP and/CC russia/NNP ,/, trudeau/NNP get/VBZ ask/VBN about/IN his/PRP$ kid/NNS tiktok/JJ account/NNS ./. #/$cdnpol/NN"
4272,@stalbertchamber/NNP for/IN the/DT win/NN with/IN @cooper4sae/NNS 🤡/NNP 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/CD #/$ abpoli/FW #/VBZ cdnpoli/NNS
4273,"the/DT man/NN live/VBZ in/IN a/DT ""/`` grace/NN and/CC favour/NN ""/'' mansion/NN that/WDT be/VBZ literally/RB fund/VBN by/IN tax/NN payer/NNS '/POS money/NN ./. #/$cdnpoli/NNS"
4274,"@1mikemorris/XX @dougeyolfson/NNP @potus/NNP ,/, in/IN his/PRP$ own/JJ elegant/JJ way/NN ,/, tell/VBD @pierrepoilievre/NNP &/CC amp/NNP ;/: @cpc_hq/, mp/NNP be/VBZ to/TO f*ck/VB off/NNP &/CC amp/NNP ;/: get/VB o/NN …/NFP"
4275,@sepulturamenudo/NNP @harryt59_harry/CD @rodkahx/VBZ #/$ thecpcwhomustbeshamedlikepetulantlittleboystostandupforwomenandforcanada/NN …/NFP
4276,canada/NNP soccer/NNP boss/NN on/IN the/DT house/NNP of/IN commons/NNP hot/JJ seat/NN #/$ cdnpoli/NNS #/XX bcpoli/VB #/$ safesport/NN #/$ corruption/NN #/$ fifa/NNP #/$ sportsbiz/NNP
4277,"say/VBZ a/DT lot/NN ,/, do/VBZ not/RB it/PRP ?/. #/$cdnpoli/NNS @pierrepoilievre/RB"
4278,@sharemyopinion/NNP @quito_maggi/NN lose/VBN of/IN factor/NNS in/IN the/DT mix/NN ./.there/EX might/MD also/RB be/VB a/DT news/NN room/NN jonese/VBG for/IN a/DT big/JJ scoop/NN s/XX …/NFP
4279,"china/NNP 's/POS overseas/JJ police/NN station/NNS part/NN of/IN the/DT #/$ ccp/NNP ""/`` stick/NNS and/CC carrot/NNS ""/'' approach/NN ,/, say/VBZ @safeguarddefend/VB #/$ cdnpoli/NNS …/NFP"
4280,"@bruceanderson/NNP oh/UH bruce/NNP ./.your/PRP$ partisan/JJ undie/NNS be/VBP show/VBG ,/, again/RB ./. #/$cdnpol/NN"
4281,"@deaddercanada/NNP @liberal_party/NNP and/CC @justintrudeau/NN have/VBP some/DT good/JJ copy/NN to/TO work/VB from/IN !/. !/. !/.thank/NNS @cpc_hq/, for/IN your/PRP$ inco/NN …/NFP"
4282,"@thejagmeetsingh/NNP @potus/NNP fraudster/NNP be/VBZ pleased/JJ with/IN himself/PRP while/IN his/PRP$ party/NN be/VBZ cratere/VBG ./.take/VB a/DT seat/NN ,/, the/DT @ndp/NN despe/VBZ …/NFP"
4283,"at/IN midnight/NN ,/, two/CD rcmp/NNP officer/NNS take/VBD the/DT wrapping/NN off/RP of/IN a/DT new/JJ sign/NN that/WDT say/VBD ,/, ""/`` stop/VB ./.do/VB not/RB cross/VB ./.it/PRP be/VBZ illegal/JJ to/IN …/NFP"
4284,"@sasksafer/VBZ @ame_todd/JJ @andrewscheer/XX @potus/NNP regina/NNP wascana/NNP must/MD be/VB soo/NN proud/JJ of/IN their/PRP$ mp/NNP !/. !/. !/.@cpc_hq/, 🤡/NNP 🤡/NNP 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS 🤡/NNS …/NFP"
4285,@thebluegem3/NNP @canadianpolle/VBG trudeau/NNP should/MD run/VB since/IN he/PRP hate/VBZ #/$ canada/NNP ./. #/$onpoli/FW #/$ cdnpoli/NNS
4286,@staceymonette27/IN #/$ cdnpoli/NNS woman/NNS be/VBP amazing/JJ and/CC strong/JJ and/CC intelligent/JJ ./.if/IN madame/NNP curie/NNP have/VBD not/RB study/VBN physics/NN n/NNP …/NFP
4287,"i/PRP disagree/VBP with/IN mr./NNP gerretsen/NNP ’s/POS assertion/NN that/IN the/DT potus/NNP be/VBZ ""/`` leader/NN of/IN the/DT free/JJ world/NN ""/'' but/CC the/DT pic/NN speak/VBZ for/IN itsel/NN …/."
4288,@kne_unkl/-LRB- #/NNS cdnpoli/NNS be/VBZ a/DT joke/NN and/CC anyone/NN that/WDT think/VBZ otherwise/RB be/VBZ a/DT ret4r/NN
4289,@captaindick12/NN shun/VB our/PRP$ neighbour/NN -/: not/RB the/DT good/JJS political/JJ move/NN .../: #/$ cdnpol/NN
4290,trudeau/NNP be/VBZ the/DT prince/NN of/IN lie/NNS ./. #/$trudeau/NNP #/$ trudeaumustgo/VB #/$ cdnpoli/NNS #/$ cdnpolitic/NNS #/$ trudeaudestroyingcanada/NNP
4291,why/WRB would/MD we/PRP expect/VB an/DT incel/NNP to/TO stand/VB up/RP for/IN woman/NNS ?/.their/PRP$ ego/NNS be/VBP so/RB fragile/JJ ./. #/$partyofincel/NNS #/ADD partyofmisogynist/NNS …/NFP
4292,@gtlem/NNP @escrimshaw/NNP very/RB astute/JJ point/NN ./.even/RB @pierrepoilievre/NNP decline/VBD to/TO comment/VB substantively/RB on/IN this/DT issue/NN at/IN his/PRP$ …/.
4293,@kabulsingh1987/NNP @angad_singh15/NNP forgot/NN #/$ airindia182/NNP disaster/NN (/-LRB- large/JJS terror/NN act/NN execute/VBN by/IN #/$ canadian/NNP …/NFP
4294,"for/IN a/DT guy/NN that/WDT seem/VBZ so/RB proud/JJ of/IN biden/NNP ’s/POS visit/NN ,/, he/PRP sure/RB spend/VBD a/DT lot/NNP of/IN his/PRP$ time/NN on/IN his/PRP$ phone/NN creep/VBG on/IN the/DT opposi/NNS …/NFP"
4295,u.s./NNP president/NNP make/VBZ official/JJ visit/NN to/IN canada/NNP justin/NNP trudeau/NNP joe/NNP biden/NNP #/$ canada/NNP #/$ primeminister/NNP #/$ justintrudeau/NNP #/NNP usa/NNP …/NFP
4296,"awkward/NNP ,/, when/WRB a/DT perpetually/RB underachieving/JJ narcissistic/JJ backbencher/NN like/IN @jenoconnell/NN _/DT forget/VBZ the/DT other/JJ 187/CD ""/`` gende/NN …/NFP"
4297,it/PRP do/VBZ not/RB say/VB much/JJ for/IN the/DT conservative/NNP party/NNP as/IN they/PRP have/VBP yet/RB to/TO produce/VB a/DT leader/NN capable/JJ of/IN fill/VBG his/PRP$ (/-LRB- tiny/JJ )/-RRB- s/FW …/NFP
4298,"@deaddercanada/NNP can/MD not/RB wait/VB to/TO see/VB the/DT cpc/NNP 's/POS %/NN drop/NN in/IN the/DT poll/NNS in/IN the/DT next/JJ go/NN '/`` round/RB ,/, follow/VBG the/DT biden/NNP 's/POS visit/NN t/NN …/NFP"
4299,"the/DT #/NNS oleaginoustoad/NNP croak/VBZ out/RP platitude/NNS from/IN the/DT gordon/NNP gecko/NNP ,/, greed/NNP be/VBZ good/JJ ,/, school/NN of/IN systemic/NNP institutional/NNP we/NNP …/NFP"
4300,"please/UH focus/VB on/IN housing/NN ,/, carbon/NN tax/NN ,/, inflation/NN ,/, monetary/JJ policy/NN and/CC food/NN security/NN ./.those/DT be/VBP win/VBG issue/NNS ./.avoid/VB …/NFP"
4301,"the/DT eu/NNP ’s/POS sweep/VBG #/JJ green/JJ legislation/NN and/CC policy/NNS be/VBP largely/RB internal/JJ ,/, and/CC do/VBP not/RB pose/VB a/DT competitive/JJ threat/NN per/IN se/FW …/FW"
4302,#/$ giveusdata/NN #/$ cdnpoli/NNS #/XX bcpoli/VB #/$ yvrre/NN #/NNS vanpoli/VB @charliesmithvcr/NNP @wengcouver/XX #/NN vanre/NN
4303,"@lindafrum/UH yup/UH !/.good/JJ comment/NN trudeau/NNP spend/VBZ like/IN it/PRP be/VBZ not/RB his/PRP$ money/NN !/.oh/UH ,/, it/PRP be/VBZ not/RB ./.it/PRP be/VBZ the/DT money/NN of/IN hard/NNP work/NNP …/NFP"
4304,"@ctvnews/. oh/UH look/VBZ like/IN someone/NN in/IN the/DT rw/NN msm/NN sphere/RB @ctvnews/NNP do/VBD not/RB get/VB the/DT directive/NN to/TO not/RB report/VB on/IN this/DT ./.ooops/NNP ,/, …/NFP"
4305,sign/VB and/CC share/VB #/JJR petition/NN 2/CD phase/NN out/RP #/$ firework/NNS in/IN for/IN #/$ environmental/JJ #/$ healthy/JJ #/$ animal/NN #/NN friendly/JJ technology/NNP show/NNS …/NFP
4306,st./NNP albert/NNP can/MD do/VB so/RB much/RB well/JJR than/IN creepy/NNP cooper/NNP ./. #/$ableg/NN #/$ cdnpoli/NNS #/$ creepycooper/NNP #/$ stalbert/NNP #/HYPH votehimout/NN
4307,@globalnew/NNS why/WRB be/VBP you/PRP question/VBG @cafreeland/NNP stand/VBG with/IN #/$ ukrainian/JJ #/$ nazi/JJ ?/. #/$cdnpoli/NNS
4308,@pierrepoilievre/NFP yes/UH #/$ taxtherich/CD because/IN they/PRP be/VBP the/DT one/NNS who/WP evade/VBP pay/VBG their/PRP$ fair/JJ share/NN while/IN the/DT rest/NN of/IN we/PRP g/NN …/NFP
4309,"#/$ giveusdata/NN #/$ cdnpoli/NNS #/XX bcpoli/VB #/$ yvrre/NN #/NNS vanpoli/VB @charliesmithvcr/NNP @wengcouver/XX #/$ vanre/NNP the/DT register/VBN owner/NNS be/VBP ""/`` jacob/NNP …/."
4310,"@garnet_2203/NNS @pierrepoilievre/NNP @cpc_hq/, too/RB bad/JJ all/PDT these/DT people/NNS do/VBD not/RB show/VB up/RP to/TO work/VB on/IN a/DT daily/JJ basis/NN …/NFP .#cdnpol/."
4311,@pierrepoilievre/RB like/IN get/VBG tax/VBN on/IN interest/NN income/NN ?/.from/IN earn/VBN money/NN that/WDT be/VBD already/RB tax/VBN ..../NFP will/MD you/PRP e/VB …/NFP
4312,@althiaraj/XX trudeau/NNP appease/VBG a/DT racist/JJ quebec/NNP to/TO reach/VB a/DT deal/NN that/WDT biden/NNP admin/NNP most/RBS probably/RB approve/VBN just/RB to/TO do/VB tru/NNP …/.
4313,'/`` why/WRB be/VBZ the/DT government/NN allow/VBG canada/NNP to/TO become/VB a/DT doormat/NN for/IN foreign/JJ power/NNS ?/. '/'' (/-LRB-@kevinvuongmp/NNP )/-RRB- #/$ cdnpoli/NNS …/NFP
4314,"i/PRP ’m/VBZ not/RB in/IN charge/NN ,/, but/CC if/IN i/PRP be/VBD i/PRP ’d/NN have/VB the/DT sign/NN say/VB ""/`` you/PRP will/MD be/VB return/VBN to/IN your/PRP$ country/NN of/IN birth/NNP if/IN you/PRP cross/VBP …/NFP"
4315,john/NNP stuart/NNP mill/NNP be/VBD right/JJ ./. #/$cdnpoli/NNS #/$ nevervoteconservative/JJ
4316,"this/DT be/VBZ leadership/NN ./.moral/JJ ,/, principle/VBN ,/, in/IN your/PRP$ face/NN leadership/NN ./.in/IN as/RB kind/RB a/DT way/NN possible/JJ so/IN you/PRP can/MD save/VB face/NN ./.guy/NNP …/NFP"
4317,#/$ irgcterrorist/NNS put/VBD they/PRP on/IN the/DT list/NN @justintrudeau/NNP instead/RB of/IN listen/VBG to/IN jowhari/NNP &/CC amp/NN ;/: give/VBG he/PRP credit/NN ./.listen/VB to/IN p/NN …/NFP
4318,"get/VB punish/VBN by/IN have/VBG your/PRP$ tax/NN dollar/NNS pay/VB for/IN more/JJR bullshit/NN from/IN low/JJ intellect/NN divisive/JJ ""/`` loyal/JJ opposition/NN ""/'' leader/NN …/."
4319,stunned/JJ face/NNS and/CC heartbreak/VB for/IN people/NNS head/VBG to/IN #/$ roxhamroad/NNP as/IN they/PRP learn/VBP canada/NNP will/MD likely/RB send/VB they/PRP back/RB via/IN …/NFP
4320,@jaycola/NNP @iandmorrison/NNP there/EX be/VBP dozen/NNS of/IN mandarin/NNP speaker/NNS who/WP have/VBP already/RB debunk/VBN this/DT ./.it/PRP ’/VBZ a/DT diversion/NN as/IN …/NFP
4321,trudeau/NNP classic/NNP moment/NNP no/DT 2/CD -/HYPH name/NN calling/NN and/CC lie/VBZ
4322,all/PDT these/DT canadian/JJ politician/NNS smoke/VBG the/DT @potus/NNP 's/POS pole/NN ./.how/WRB pathetic/JJ that/IN they/PRP kiss/VBP the/DT ass/NN of/IN a/DT clueless/JJ pedo/NN cr/VBN …/NFP
4323,"look/VBZ like/IN our/PRP$ national/NNP embarrassment/NNP pierre/NNP poilievre/NNP ,/, and/CC the/DT cpc/NNP have/VBP make/VBN international/JJ headline/NNS ./.way/NN to/TO go/VB gu/VB …/NFP"
4324,"time/NN run/VBG out/RP to/TO curb/VB global/JJ warming/NN :/: un/NNP report/NN stop/VB develop/VBG fossil/JJ fuel/NNS ,/, @dave_eby/NNP @georgeheyman/NNP …/NFP"
4325,@stephen_taylor/NNP no/UH -/HYPH he/PRP ’/VBZ mock/VBG the/DT president/NNP of/IN the/DT united/NNP states/NNP -/HYPH leader/NN of/IN the/DT free/JJ world/NN &/CC amp/NNP ;/: our/PRP$ close/JJS ally/NN !/. …/NFP
4326,@johnpasalis/NFP canada/NNP ’s/POS youth/NN will/MD have/VB many/JJ reason/NNS to/TO vote/VB for/IN it/PRP —/: not/RB least/JJS of/IN which/WDT be/VBZ environmental/JJ concern/NNS of/IN …/.
4327,"@thejagmeetsingh/NNP the/DT unsaid/JJ part/NN ""/`` i/PRP ’m/VBZ fight/VBG for/IN myself/PRP ""/'' ./.politician/NNS sling/VBG mud/NN rather/RB than/IN work/VBG for/IN we/PRP do/VBP …/NFP"
4328,"@nathanyyc/NNS i/PRP be/VBD never/RB abusive/JJ or/CC rude/JJ ,/, but/CC this/DT be/VBZ just/RB our/PRP$ lying/NN ""/`` premier/NN ""/'' in/IN action/NN ./.👿/NNP #/$ blockedbysmith/NNP …/NFP"
4329,i/PRP think/VBP we/PRP should/MD all/RB send/VB any/DT invitation/NNS we/PRP get/VBP to/IN this/DT email/NN from/IN now/RB on/RB .../: #/$ cdnpoli/NNS
4330,@mindingottawa/NNP hope/VBP you/PRP find/VBP out/RP how/WRB much/JJ struggle/VBG taxpayer/NNS pay/VBN for/IN the/DT biden/NNP supper/NN with/IN a/DT bunch/NN of/IN privileged/JJ …/NFP
4331,@robertfife/NNP guess/NNP he/PRP lose/VBD his/PRP$ invitation/NN to/IN dinner/NN last/JJ night./RB 🙂/NNPS #cdnpoli/NNS #/NNS cdnmedi/VB
4332,
4333,"@deaddercanada/NNP if/IN the/DT liberal/NNS think/VBP that/IN cons/NNPS not/RB give/VBG potus/NNP a/DT standing/JJ ovation/NN in/IN hoc/NNP ,/, for/IN gender/NN parity/NN ,/, be/VBZ g/NN …/NFP"
4334,it/PRP ’/VBZ the/DT rush/NN for/IN click/NNS because/IN they/PRP be/VBP so/RB desperate/JJ for/IN money/NN ./.journalism/NNP can/MD not/RB survive/VB without/IN either/DT advertisi/JJ …/NFP
4335,@johnpasalis/NFP our/PRP$ government/NN be/VBZ create/VBG an/DT anti/JJ -/JJ immigration/JJ movement/NN among/IN its/PRP$ young/JJS people/NNS ./.we/PRP be/VBP go/VBG to/TO vo/VB …/NFP
4336,@joe_warmington/NNP @vinanadjibulla/NNP @handongontario/NNP @potus/NNP maybe/RB the/DT michael/NNP ’s/NN start/VBD new/JJ life/NNS in/IN #/NNS china/NNP ./.be/VBP these/DT t/NN …/NFP
4337,"never/RB be/VBD i/PRP ""/`` abusive/JJ ""/'' .../: your/PRP$ consistent/JJ tweeter/NN blocking/NN have/VBZ not/RB be/VBN complete/VBN just/RB on/IN those/DT ground/NNS .../: but/CC b/LS …/NFP"
4338,there/EX be/VBZ a/DT level/NN of/IN amusement/NN in/IN see/VBG canadian/JJ leftist/NNS celebrate/VBP a/DT foreign/JJ head/NN of/IN state/NN trashing/NN duly/RB elect/VBN c/NNP …/.
4339,#/$ canada/NNP #/$ cdnpoli/NNS #/NNPS usa/NNP #/$ uspoli/NNS #/$ bidenvisit/NNP do/VBD i/PRP mention/VB that/IN almost/RB all/DT male/JJ conservative/JJ mp/NNS would/MD not/RB stand/VB up/RP wh/NN …/NFP
4340,@andrewscheer/VB what/WP a/DT fucking/JJ embarrassment/NN you/PRP be/VBP ./.basic/JJ fucking/JJ courtesy/NN be/VBZ too/RB much/JJ for/IN you/PRP ./.go/VB fuck/VB yourself/PRP sc/NNP …/NFP
4341,"@althiaraj/XX @torontostar/XX @stephanielevitz/NNP my/PRP$ god/NNP 🇨/NNP 🇦/NNP be/VBZ so/RB bad/JJ at/IN find/VBG ""/`` charm/NN ""/'' in/IN their/PRP$ politician/NNS ./.why/WRB be/VBZ that/DT ?/. …/NFP"
4342,@niagee/VBG update/VBN risk/NNP calculator/NNP ™/CD ️/CD 1/CD ./.be/VBP i/PRP an/DT alive/JJ human/NN ?/.2/LS ./.do/VBP i/PRP breathe/VB air/NN in/IN public/JJ space/NNS ?/.risk/NNP calculatio/NNP …/NFP
4343,1/LS ./.they/PRP ’re/VBP break/VBG the/DT law/NN ./.2/LS ./LSwe/PRP should/MD not/RB be/VB on/IN the/DT hook/NN to/TO pay/VB for/IN they/PRP ./.3/LS ./LSthey/PRP ’re/VBP already/RB in/IN a/DT safe/JJ country/NN c/NN …/NFP
4344,@johnpasalis/NFP 96/CD %/NN of/IN the/DT population/NN growth/NN in/IN 2022/CD come/VBD from/IN immigration/NN ./.this/DT be/VBZ entirely/RB in/IN the/DT control/NN of/IN the/DT fed/NNP …/.
4345,"@pierrepoilievre/NFP if/IN you/PRP feel/VBP so/RB strongly/RB about/IN it/PRP why/WRB not/RB tag/VB @potus/NNP another/DT dog/NN whistle/JJ moment/NN bring/VBD to/IN you/PRP by/IN the/DT @cpc_hq/, #/$ cdnpol/NN"
4346,first/JJ presidential/NNP production/NN !/. &/CCamp/NNP ;/: 49/CD minute/NNS of/IN excellent/JJ listening/NN ./.turn/VB it/PRP on/IN this/DT weekend/NN !/. #/$cdnpoli/NNS #/$ nlpoli/NNS …/NFP
4347,@canadiancynic/NNP trump/NNP 👍/CD the/DT freedom/NNP convoy/NNP ./.biden/NNP would/MD know/VB all/RB about/IN skippy/NNP ./.surprised/JJ he/PRP be/VBD allow/VBN anywhere/RB near/IN him./NN 🙂/WDT #cdnpoli/VBZ #/NNS cdnmedi/VB
4348,@lukaszukab/NNP @lifeinstalbert/NNP @cooper4sae/NNPS i/PRP agree/VBP ./.so/RB small/JJ ./.he/PRP be/VBZ officially/RB our/PRP$ mtg/NNP of/IN canada/NNP ./.if/IN he/PRP could/MD he/PRP would/MD …/NFP
4349,"@christineryan9/NNP that/DT be/VBZ awful/JJ ./.the/DT tories/NNPS do/VBD increase/VB the/DT budget/NN ,/, and/CC i/PRP get/VBP it/PRP that/IN everyone/NN keep/VBZ try/VBG to/TO take/VB …/NFP"
4350,📣/LS poll/NN :/: could/MD a/DT federation/NNP of/IN the/DT commonwealth/NNP (/-LRB- 🇨/NNP 🇦/NNP )/-RRB- be/VB the/DT biggest/JJ enterprise/NN in/IN human/JJ history/NN ?/.📜/NNP independent/NNP natio/NNP …/NFP
4351,"on/IN 28/CD first/NNP nations/NNPS reserve/NNS ,/, drink/VBG the/DT tap/NN water/NN without/IN boil/VBG it/PRP first/RB can/MD make/VB you/PRP sick/JJ ./.some/DT of/IN these/DT comm/NN …/."
4352,"like/UH ,/, my/PRP$ god/NNP ,/, man/NN ,/, know/VBP when/WRB you/PRP ’ve/VBP be/VBN have/VBN ./. #/$cdnpol/NNP"
4353,@calltoactivism/NN and/CC then/RB we/PRP have/VBP the/DT super/NNP stud/NN poilievre/NNP who/WP want/VBZ to/TO bring/VB ar-15s/NNP into/IN canada/NNP for/IN his/PRP$ supporter/NNS …/NFP
4354,@maximeberni/JJR @lifesite/VB anything/NN less/JJR than/IN a/DT criminal/JJ investigation/NN be/VBZ further/JJ proof/NN that/IN our/PRP$ government/NN be/VBZ compromise/VBN #/$ cdnpol/NN
4355,@cbcnew/NNS these/DT boy/NNS be/VBD not/RB game/VBG the/DT system/NN ./.they/PRP be/VBD not/RB try/VBG to/TO offend/VB other/JJ immigrant/NNS who/WP apply/VBP for/IN visa/NNS ./. …/NFP
4356,love/VB this/DT story/NN !/.great/JJ job/NN @elizabethmay/NFP #/$ cdnpoli/NNS
4357,"@squirlygirll/NNP @acoyne/NNP no/NN ./.i/PRP do/VBP not/RB have/VB to/TO read/VB the/DT document/NNS ,/, which/WDT expert/NNS advise/VBP be/VBP not/RB fact/NNS ,/, to/TO know/VB the/DT leaker/NN …/."
4358,kinda/NNP miss/VBD the/DT moment/NN where/WRB #/$ potus/NNP have/VBD to/TO embarrass/VB con/NNP into/IN stand/VBG ./. #/$minitrump/NNP be/VBD the/DT last/JJ to/TO stand/VB ./. #/$cdnpoli/NNP
4359,📣/LS poll/NN :/: could/MD a/DT federation/NNP of/IN the/DT commonwealth/NNP be/VB a/DT 12/CD figure/NN return/NN for/IN 🇨/NNP 🇦/NNP ?/.📜/NNP independent/NNP nations/NNPS under/IN one/CD creator/NN …/NFP
4360,@dougeyolfson/NN it/PRP get/VBD some/DT coverage/NN in/IN the/DT british/JJ press/NN :/: ⤵️/CD
4361,@leslynlewis/VB we/PRP think/VBP hobnob/VBG with/IN know/VBN fascist/NNS be/VBZ far/RB bad/JJR ./. #/$cdnpol/NN
4362,"@cbcnews/NFP from/IN the/DT us/NNP ,/, the/DT boy/NNS would/MD then/RB have/VB a/DT long/JJ walk/NN on/IN foot/NN to/IN ,/, you/PRP guess/VBD it/PRP ,/, roxham/NNP road/NNP ./.they/PRP have/VBD a/DT fam/NN …/."
4363,i/PRP do/VBP not/RB recall/VB the/DT previous/JJ government/NN where/WRB people/NNS have/VBD such/PDT an/DT obsession/NN with/IN how/WRB much/JJ money/NN be/VBD spend/VBN on/IN trip/NNS an/DT …/NFP
4364,ouch/UH .../: #/$ cdnpoli/NNS
4365,i/PRP ’m/VBP trouble/VBN by/IN the/DT news/NN of/IN roxham/NNP rd/NNP ./.closing/NN ./.but/CC it/PRP have/VBZ i/PRP wonder/VBG if/IN this/DT be/VBD an/DT appeasement/NN for/IN qc/NNP and/CC the/DT c/NN …/NFP
4366,"icymi/NNP -/: my/PRP$ second/JJ #/NN substack/NN column/NN be/VBZ up/RB today/NN !/.talk/VBG @justintrudeau/NNP @joebiden/NNP #/$ cdnpoli/NNP #/$ uspoli/NNS and/CC more/JJR read/NNP ,/, …/NFP"
4367,"""/`` the/DT question/NN become/VBZ ,/, why/WRB be/VBZ csis/NNP pick/VBG up/RP a/DT sit/VBG mp/NNP on/IN a/DT wire/NN tap/NN ?/.and/CC once/IN they/PRP have/VBD the/DT conversation/NN ,/, why/WRB w/LS …/NFP"
4368,@cbcnew/NNS they/PRP make/VBD it/PRP to/IN their/PRP$ grandma/NN 's/POS some/DT day/NNS later/RB ./.but/CC that/DT be/VBZ not/RB where/WRB their/PRP$ journey/NN end/VBD ./.she/PRP be/VBD terrif/NNP …/NFP
4369,"re/IN :/: iraq/NNP //SYM wmd/NNS +/CC maher/NNP arar/NNP :/: there/EX be/VBZ a/DT significant/JJ difference/NN btwn/NN faulty/JJ intel/NN and/CC agenda/NN -/HYPH drive/VBN fabrication/NNS ,/, to/IN …/NFP"
4370,@mikeggibbs/NNP someone/NN be/VBZ dream/VBG ./.the/DT most/RBS successfulwa/VBD the/DT reagan/NNP -/HYPH mulroney/NNP one/CD when/WRB the/DT acid/NNP rain/NNP treaty/NNP be/VBD sign/NN …/NFP
4371,the/DT late/JJS the/DT wet/NNP coast/NNP daily/NNP !/.
4372,"do/VBZ this/DT look/VB like/IN trudeau/NNP be/VBZ make/VBG life/NN more/RBR affordable/JJ ?/.do/VBZ it/PRP look/VB like/IN trudeau/NNP ""/`` have/VBZ your/PRP$ back/NN ""/'' ?/.most/JJS leader/NNS …/NFP"
4373,"@markbourrie/, @somersvick/RB @farandwide/VBP when/WRB they/PRP be/VBP sue/VBN and/CC have/VB to/TO pay/VB for/IN damage/NNS no/DT one/NN hear/VBZ about/IN it/PRP either/RB ./.i/PRP …/NFP"
4374,"@marciien/JJ biden/NNP be/VBD not/RB ask/VBG they/PRP to/TO stand/VB to/TO applaud/VB the/DT principle/NN of/IN gender/NN parity/NN in/IN politic/NNS ,/, he/PRP want/VBD they/PRP t/FW …/NFP"
4375,this/DT blockhead/NN with/IN block/VBN reply/NNS use/VBD his/PRP$ tax/NN payer/NN expense/VBD phone/NN to/TO take/VB picture/NNS in/IN parliament/NN of/IN his/PRP$ politic/NN …/NFP
4376,they/PRP ’re/VBP not/RB hide/VBG anymore/RB ./. #/$cdnpoli/NNS
4377,@anitaanandmp/NNP @justintrudeau/NNP @noradcommand/CC @justintrudeau/NNP be/VBZ a/DT traitor/NN to/IN 🇨/NN 🇦/NNP ./.he/PRP allow/VBD election/NN meddling/NN because/IN …/NFP
4378,"@cbcnews/NFP but/CC where/WRB could/MD they/PRP hide/VB ?/.now/RB that/IN their/PRP$ parent/NNS and/CC uncle/NN be/VBD dead/JJ ,/, none/NN of/IN their/PRP$ friend/NNS or/CC relative/NNS …/NFP"
4379,#/$ cdnpoli/NNS if/IN only/RB #/NNS cdnmedia/NNS be/VBD so/RB well/RB brief/VBN …/NFP
4380,can/MD we/PRP all/DT stop/VB call/VBG #/$ pierrepoilievre/NNP #/$ peepee/NN ?/.it/PRP be/VBZ far/RB more/RBR on/IN 🎯/NNP to/TO call/VB he/PRP #/$ minitrump/NNP or/CC #/$ trumpnorth/NN ?/.thoug/NNP …/NFP
4381,.⁦@lifeinstalbert⁩/. photo/NN take/VBN after/IN predident/NNP biden/NNP acknowledge/VBD 50/CD %/NN female/JJ composition/NN of/IN the/DT us/NNP and/CC canadian/JJ cab/NN …/NFP
4382,"hey/UH everyone/NN ,/, have/VB a/DT look/NN at/IN this/DT #/NN petition/NN to/TO phase/VB out/RP #/$ firework/NNS in/IN favour/NN of/IN #/$ droneshow/NNS it/PRP be/VBZ well/JJR for/IN the/DT …/."
4383,'/`` #/$ cybersecurity/NN be/VBZ something/NN that/WDT affect/VBZ all/DT canadians/NNPS .../: it/PRP underpin/VBZ every/DT aspect/NN of/IN our/PRP$ life/NNS ./. '/'' #/$cdnpoli/NNS
4384,@democracywatchr/NN :/: commissioner/NNP of/IN lobbying/NN send/VBZ letter/NN to/IN house/NNP #/NNP ethics/NNP committee/NNP for/IN secret/JJ meeting/NNS on/IN her/PRP$ propo/NN …/NFP
